CREATE | Token: CREATE| linea= 2 | columna Inicio= 0 | columna Final= 6
DATABASE | Token: DATABASE| linea= 2 | columna Inicio= 7 | columna Final= 15
prueba | Token: Identificador | linea= 2 | columna Inicio= 16 | columna Final= 22
ON | Token: ON| linea= 2 | columna Inicio= 23 | columna Final= 25
PRIMARY | Token: PRIMARY| linea= 2 | columna Inicio= 27 | columna Final= 34
( | Token: ParentesisAbierto| linea= 3 | columna Inicio= 0 | columna Final= 1
NAMES | Token: NAMES| linea= 3 | columna Inicio= 2 | columna Final= 7
= | Token: Igual| linea= 3 | columna Inicio= 8 | columna Final= 9
'prueba' | Token: String | linea= 3| columna Inicio= 10| columna Final= 18
, | Token: Coma| linea= 3 | columna Inicio= 18 | columna Final= 19
FILE | Token: FILE| linea= 3 | columna Inicio= 20 | columna Final= 24
= | Token: Igual| linea= 3 | columna Inicio= 25 | columna Final= 26
'C:\Program Files\Microsoft SQL Server\MSSQL.1\MSSQL\DATA\prueba.mdf' | Token: String | linea= 3| columna Inicio= 27| columna Final= 96
, | Token: Coma| linea= 3 | columna Inicio= 97 | columna Final= 98
SIZE | Token: SIZE| linea= 3 | columna Inicio= 99 | columna Final= 103
= | Token: Igual| linea= 3 | columna Inicio= 104 | columna Final= 105
60608 | Token: Numero | linea= 3| columna Inicio= 106| columna Final= 111
) | Token: ParentesisCerrado| linea= 3 | columna Inicio= 111 | columna Final= 112
, | Token: Coma| linea= 3 | columna Inicio= 112 | columna Final= 113
( | Token: ParentesisAbierto| linea= 4 | columna Inicio= 0 | columna Final= 1
NAMES | Token: NAMES| linea= 4 | columna Inicio= 2 | columna Final= 7
= | Token: Igual| linea= 4 | columna Inicio= 8 | columna Final= 9
'prueba2' | Token: String | linea= 4| columna Inicio= 10| columna Final= 19
, | Token: Coma| linea= 4 | columna Inicio= 19 | columna Final= 20
FILE | Token: FILE| linea= 4 | columna Inicio= 21 | columna Final= 25
= | Token: Igual| linea= 4 | columna Inicio= 26 | columna Final= 27
'H:\Data\prueba2.ndf' | Token: String | linea= 4| columna Inicio= 28| columna Final= 49
, | Token: Coma| linea= 4 | columna Inicio= 50 | columna Final= 51
SIZE | Token: SIZE| linea= 4 | columna Inicio= 52 | columna Final= 56
= | Token: Igual| linea= 4 | columna Inicio= 57 | columna Final= 58
1048576 | Token: Numero | linea= 4| columna Inicio= 59| columna Final= 66
) | Token: ParentesisCerrado| linea= 4 | columna Inicio= 66 | columna Final= 67
; | Token: PuntoyComa| linea= 4 | columna Inicio= 67 | columna Final= 68
ALTER | Token: ALTER| linea= 6 | columna Inicio= 0 | columna Final= 5
DATABASE | Token: DATABASE| linea= 6 | columna Inicio= 6 | columna Final= 14
prueba | Token: Identificador | linea= 6 | columna Inicio= 15 | columna Final= 21
COLLATE | Token: COLLATE| linea= 6 | columna Inicio= 22 | columna Final= 29
SQL_Latin1_General_CP1_CI_AS | Token: Identificador | linea= 6 | columna Inicio= 30 | columna Final= 58
GO | Token: GO| linea= 7 | columna Inicio= 0 | columna Final= 2
CREATE | Token: CREATE| linea= 10 | columna Inicio= 0 | columna Final= 6
TABLE | Token: TABLE| linea= 10 | columna Inicio= 7 | columna Final= 12
test | Token: Identificador | linea= 10 | columna Inicio= 13 | columna Final= 17
. | Token: Punto| linea= 10 | columna Inicio= 17 | columna Final= 18
cqf | Token: Identificador | linea= 10 | columna Inicio= 18 | columna Final= 21
. | Token: Punto| linea= 10 | columna Inicio= 21 | columna Final= 22
DEXTask | Token: Identificador | linea= 10 | columna Inicio= 22 | columna Final= 29
( | Token: ParentesisAbierto| linea= 10 | columna Inicio= 29 | columna Final= 30
TaskId | Token: Identificador | linea= 11 | columna Inicio= 1 | columna Final= 7
INT | Token: INT| linea= 11 | columna Inicio= 8 | columna Final= 11
IDENTITY | Token: IDENTITY| linea= 11 | columna Inicio= 12 | columna Final= 20
( | Token: ParentesisAbierto| linea= 11 | columna Inicio= 20 | columna Final= 21
1 | Token: Bit | linea= 11| columna Inicio= 21| columna Final= 22
